Catégorie,Nom du lieu,Commune,Descriptif
Loisirs,Bar,Agoè-Nyivé 1,Bar simple
Loisirs,Bar Usb,Agoè-Nyivé 1,Bar
Loisirs,Bar Le Sourire,Agoè-Nyivé 1,Bar
Loisirs,Bar Bide,Agoè-Nyivé 1,Bar
Loisirs,Bar Vip Lumiere,Agoè-Nyivé 1,Bar
Loisirs,Bar Victoire,Agoè-Nyivé 1,Bar
Loisirs,Chez Yeta,Agoè-Nyivé 1,Bar
Loisirs,Bar Petit A Petit,Agoè-Nyivé 1,Bar
Loisirs,Bar,Agoè-Nyivé 4,Bar
Loisirs,Bar Providence,Agoè-Nyivé 1,Bar
Loisirs,Bar Le Reve,Agoè-Nyivé 1,Bar
Loisirs,Bar,Agoè-Nyivé 3,Bar
Loisirs,Bar Galaxi Plus,Agoè-Nyivé 1,Bar
Loisirs,Bar Restaurant Luz,Agoè-Nyivé 1,Bar et restaurant
Loisirs,Bar Mkk,Agoè-Nyivé 1,Bar
Loisirs,Bar Palais Rus,Agoè-Nyivé 1,Bar
Loisirs,Bar La Guinguette 3000,Agoè-Nyivé 1,Bar
Loisirs,Mac City,Agoè-Nyivé 1,Bar
Loisirs,Bar Espoir 2000,Agoè-Nyivé 1,Bar
Loisirs,Bar La Princesse,Agoè-Nyivé 1,Bar
Loisirs,Bar Espoir 2000,Agoè-Nyivé 1,Bar
Loisirs,Bar Harmony,Agoè-Nyivé 1,Bar
Hôtels,Auberge Douvon,Agoè-Nyivé 1,Auberge
Hôtels,Auberge Awiya,Agoè-Nyivé 2,Auberge
Hôtels,Auberge Hotes Akwaba,Agoè-Nyivé 6,Auberge
Hôtels,Hotel Ambassadors,Golfe 2,Hôtel
Hôtels,Résidence Le Triomphe,Golfe 4,Résidence
Hôtels,NSP,Golfe 1,NSP
Hôtels,Hôtel Relais De La Frontière,Golfe 4,Hôtel
Hôtels,Motel Venus,Agoè-Nyivé 1,Motel
Hôtels,Hôtel Degbawa,Golfe 4,Hôtel
Hôtels,Elie Palace,Golfe 5,Palace
Hôtels,Hotel Stonia,Golfe 5,Hôtel
Hôtels,Hotel Elegance 2,Agoè-Nyivé 6,Hôtel
Hôtels,NSP,Agoè-Nyivé 1,NSP
Parcs et Jardins,Eldorado,Agoè-Nyivé 1,Jardin ou parc public
Parcs et Jardins,Espace Vert Casablanca,Golfe 4,Espace vert
Parcs et Jardins,Parc Dunenyo,Golfe 5,Jardin ou parc public (en projet)
Parcs et Jardins,Espace des Maries,Golfe 7,Décoration sur voie publique
Parcs et Jardins,Aire de Repos de l'Amphi 500,Golfe 3,Aire de repos (Université de Lomé)
Parcs et Jardins,Espace Vert de Coul 1,Golfe 3,Lieu de sport et loisir vert (Université de Lomé)
Parcs et Jardins,Aire de Repos de la FASEG,Golfe 3,Aire de repos (Université de Lomé)
Parcs et Jardins,Aire de Repos de L'esplanade,Golfe 3,Aire de repos (Université de Lomé)
Parcs et Jardins,Aire de Repos de L'amphi 1000,Golfe 3,Aire de repos (Université de Lomé)
Parcs et Jardins,Espace Vert de Coul 2,Golfe 3,Lieu de sport et loisir vert (Université de Lomé)
Marchés,Marché de Vakpossito,Agoè-Nyivé 3,Marché quotidien
Marchés,Marché de Haoussa Zongo,Agoè-Nyivé 4,Marché (organisé)
Marchés,Marché d'ademessime,Agoè-Nyivé 4,Marché
Marchés,Marché de Djikame,Agoè-Nyivé 4,Marché quotidien
Marchés,Marché de Sanguera,Agoè-Nyivé 5,Marché quotidien
Marchés,Marché de Sangnrame,Agoè-Nyivé 5,Marché quotidien
Marchés,Marché Zossimè,Agoè-Nyivé 5,Marché quotidien
Marchés,Marché de Konyito,Agoè-Nyivé 5,Marché (lundi et samedi)
Sites Naturels,Ruine De Wharf Des Allemands,Golfe 4,Monument historique
Sites Naturels,Monument De L'Indépendance,Golfe 4,Monument
Sites Naturels,Ruine De Wharf Des Français,Golfe 4,Centre historique
Supermarchés,Supermarché Ramco Gbadago 2,Golfe 4,Supermarché
Supermarchés,Supermarché Ramco Gbadago,Golfe 3,Supermarché
Établissements Touristiques,Titi Art Togo,Agoè-Nyivé 1,Site artistique
Établissements Touristiques,Foret Sacre De Kokou,Agoè-Nyivé 2,Forêt sacrée
Établissements Touristiques,Foret Sacre De Aholoupe,Agoè-Nyivé 4,Forêt sacrée
Établissements Touristiques,Marcelo Beach,Golfe 6,Plage
Établissements Touristiques,Point Tourristique Mokpokpo,Agoè-Nyivé 3,Point touristique
